subject,body,sender,label
Google Account Sign-in Alert,We noticed a sign-in to your Google account from a new device.,team@company.com,0
Click here to claim your prize,Your Amazon account will be locked unless you update your billing details.,admin@verification-alert.com,1
URGENT: Your Account Has Been Suspended,"Your Netflix subscription has expired. Login to avoid termination.

[Fake Login Page]",netflix@secure-mail.com,1
Flight Itinerary Confirmation,"Please note, your class schedule has been updated. Visit the portal to view changes.",service@netflix.com,0
Final Notice: Account Termination,"Dear User,

Your account is temporarily locked. Click the link below to verify your identity.

[Fake Link]",taxrefund@gov-support.org,1
Flight Itinerary Confirmation,We noticed a sign-in to your Google account from a new device.,service@netflix.com,0
Unusual Login Attempt Detected,You are eligible for a tax refund. Submit your banking info now.,security-alert@googl3.com,1
Update on your support ticket,Welcome aboard! We're excited to have you on our team. Orientation starts Monday.,noreply@google.com,0
You've won a $1000 gift card,You are eligible for a tax refund. Submit your banking info now.,apple@locked-portal.com,1
Final Notice: Account Termination,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,security-alert@googl3.com,1
Google Account Sign-in Alert,Thank you for submitting the feedback form. We appreciate your input.,service@netflix.com,0
Click here to claim your prize,We detected suspicious activity on your bank account. Confirm your details immediately.,taxrefund@gov-support.org,1
You've won a $1000 gift card,"Your PayPal account has been limited. Act now to restore access.

[Fake Link]",admin@verification-alert.com,1
Welcome to the team!,"Hi,

Your Netflix subscription is confirmed. Enjoy streaming!

Team Netflix",admin@university.edu,0
Invoice for your recent purchase,"Dear Customer,

Thank you for your purchase. Please find the attached invoice.

Regards,
Amazon",noreply@google.com,0
Verify your identity now!,"Your Netflix subscription has expired. Login to avoid termination.

[Fake Login Page]",noreply@resetpass-secure.com,1
PayPal: Resolve issue to avoid limitation,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,paypal-update@notice-mail.com,1
URGENT: Your Account Has Been Suspended,"Your Netflix subscription has expired. Login to avoid termination.

[Fake Login Page]",security-alert@googl3.com,1
Your subscription is confirmed,"Please note, your class schedule has been updated. Visit the portal to view changes.",no-reply@airlines.com,0
Click here to claim your prize,Security Alert: We blocked a suspicious login. Click to secure your account.,paypal-update@notice-mail.com,1
Google Account Sign-in Alert,You've got a new connection request from David on LinkedIn.,support@amazon.com,0
You've won a $1000 gift card,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.,billing@amazon-check.com,1
Verify your identity now!,"Your Netflix subscription has expired. Login to avoid termination.

[Fake Login Page]",security-alert@googl3.com,1
